Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
airConditioner,,blocks,Block,--,Air Conditioner,Climatiseur,Klimaanlage,,Aire acondicionado,Klimatyzator
airConditionVentFan,,blocks,Block,newKey,Vent Fan,,,,,
airConditionVentFanDouble,,blocks,Block,newKey,"Vent Fan, Double",,,,,
alphabetLetterSignGroupDesc,,blocks,Block,--,Create your own billboards with these single letter signs and numbers.,Créez vos propres panneaux grâce à ces lettres.,Erstelle mit diesen Buchstaben und Zahlen deine eigenen Plakatwände.,,Crea tus propios carteles con estas letras.,Stwórz własne billboardy z tymi pojedynczymi znakami.
arrowHelper,,blocks,Block,newKey,Arrow Helper,,,,,
arrowSlit,,blocks,Block,newKey,Arrow Slit,,,,,
awningBlock,,blocks,Block,--,Awning Block,Bloc en toile marron,Stoffplane – Block,,Bloque canela de toldo,Blok - zadaszenie
awningCNRFull,,blocks,Block,--,Awning Corner Full,Angle complet en toile marron,Stoffplane – Komplette Ecke,,Esquina canela de toldo,
awningCNRInside,,blocks,Block,--,Awning Corner Inside,Angle intérieur en toile marron,Stoffplane – Innenecke,,Esquina interior canela de toldo,
awningCNRRound,,blocks,Block,--,Awning Corner Round,Angle arrondi en toile marron,Stoffplane – Abgerundete Ecke,,Esquina redonda canela de toldo,
awningCNRRoundTop,,blocks,Block,newKey,Awning Corner Round Top,,,,,
awningCTRSheet,,blocks,Block,newKey,Awning Sheet Centered,,,,,
awningGable,,blocks,Block,--,Awning Gable,Pignon en toile marron,Stoffplane – Giebel,,Frontón canela de toldo,
awningGroupDesc,,blocks,Block,--,An awning made from cloth.\nThis will greatly reduce fall damage.,Une toile en tissu.,Eine Stoffplane.,,Un toldo hecho de tela.,
awningPyramid,,blocks,Block,--,Awning Pyramid,Pyramide en toile marron,Stoffplane – Pyramide,,Pirámide canela de toldo,
awningRamp,,blocks,Block,--,Awning Ramp,Rampe en toile marron,Stoffplane – Rampe,,Rampa canela de toldo,
awningRampSheet,,blocks,Block,newKey,Awning Ramp Sheet,,,,,
awningRampSheetCNRInside,,blocks,Block,newKey,Awning Ramp S Inside corner,,,,,
awningRampSheetEdgeLeft,,blocks,Block,newKey,Awning Ramp S Edge Left,,,,,
awningRampSheetEdgeRight,,blocks,Block,newKey,Awning Ramp S Edge Right,,,,,
awningSheet,,blocks,Block,newKey,Awning Sheet,,,,,
barracksChair,,blocks,Block,newKey,Barracks Chair,,,,,
barStool,,blocks,Block,--,Bar Stool,,Barhocker,,,Stołek barowy
bed01,,blocks,Block,--,An Old Bed,Un vieux lit,Altes Bett,,Una cama vieja,Stare łóżko
bed01Frame,,blocks,Block,--,Iron Bed Frame,Cadre de lit en fer,Eisenbettgestell,,Bastidor de cama de hierro,Żelazna rama łóżka
bed02,,blocks,Block,--,King Size Bed,Grand lit,Doppelbett,,Cama king size,Ogromne łóżko
bedGroupDesc,,blocks,Block,--,Placing a bed on the ground will allow you to respawn there when you die. Placing a new bed or picking up the last placed bed will permanently clear all previous respawn points. The bed shows on your map and compass and prevents zombie spawning near it.,"En le plaçant à terre, vous pourrez réapparaître à cet endroit lorsque vous mourrez et il sera indiqué sur votre carte.","Wenn du dies platzierst, kannst du dort wiedererscheinen, falls du stirbst. Außerdem wird der Standort auf deiner Karte angezeigt.",,"Si la colocas en el suelo, revives allí cada vez que mueras. Además, se mostrará el lugar en el mapa.",
bedroll,,blocks,Block,--,Bedroll,Sac de couchage,Schlafsack,,Saco de dormir,Śpiwór
birdBathPlanter,,blocks,Block,newKey,Bird Bath Planter,,,,,
boardedWindowsSheet4,,blocks,Block,--,Window Boards,Rebords de fenêtre,Fensterbretter,,Tapias,
bodyBagBlack,,blocks,Block,newKey,Body Bag Black,,,,,
bodyBagBlackFlies,,blocks,Block,newKey,"Body Bag Black, Flies",,,,,
bodyBagPair,,blocks,Block,newKey,Body Bag Pair,,,,,
bodyBagPairMixed,,blocks,Block,newKey,Body Bag Mixed,,,,,
bodyBagPairYellow,,blocks,Block,newKey,Body Bag Pair Yellow,,,,,
bodyBagPile,,blocks,Block,newKey,Body Bag Pile,,,,,
bodyBagPileMix,,blocks,Block,newKey,Body Bag Pile Mix,,,,,
bodyBagYellow,,blocks,Block,newKey,Body Bag Yellow,,,,,
bodyBagYellowFlies,,blocks,Block,newKey,"Body Bag Yellow, Flies",,,,,
brickArch,,blocks,Block,newKey,Brick Arch 2m,,,,,
brickArchCurveBase,,blocks,Block,newKey,Brick Arch Curve Base,,,,,
brickArchCurveFiller,,blocks,Block,newKey,Brick Arch Curve Filler,,,,,
brickArchCurveMiddle,,blocks,Block,newKey,Brick Arch Curve Middle,,,,,
brickArchCurveTop,,blocks,Block,newKey,Brick Arch Curve Top,,,,,
brickArchCurveTopMiddle,,blocks,Block,newKey,Brick Arch Curve Top Middle,,,,,
brickArchCurveTopMiddleTopper,,blocks,Block,newKey,Brick Arch Curve Top Middle Topper,,,,,
brickArchCurveWall,,blocks,Block,newKey,Brick Arch Curve Wall,,,,,
brickArchCurveWallCap,,blocks,Block,newKey,Brick Arch Curve Wall Cap,,,,,
brickBlock,,blocks,Block,--,Bricks,Briques,Ziegel,,Ladrillos,Cegły
brickBlockBaseboard1,,blocks,Block,newKey,Brick Block Baseboard 1,,,,,
brickBlockBaseboard4,,blocks,Block,newKey,Brick Block Baseboard 4,,,,,
brickBlockBaseboardChairRail1,,blocks,Block,newKey,Brick Block Baseboard Chair Rail 1,,,,,
brickBlockBaseboardChairRail4,,blocks,Block,newKey,Brick Block Baseboard Chair Rail 4,,,,,
brickBlockTileBroken01,,blocks,Block,newKey,"Brick Block, Broken Tile",,,,,
brickCNRFull,,blocks,Block,--,Brick Full Corner,Angle complet en brique,Ziegel – Komplette Ecke,,Esquina de ladrillo,
brickCNRInside,,blocks,Block,--,Brick Inside Corner,Angle intérieur en brique,Ziegel – Innenecke,,Esquina interior de ladrillo,
