Key,English
jz_CharacterChoiceComputer,Starting Options
jz_CharacterChoiceComputerDesc,"Immediately place on the ground and use to chose your players starting stats and knowledge."
jz_ProfessionChoice,Knowledge Point
jz_ProfessionChoiceDesc,"Use these points to purchase your starting player stats and knowledge. Purchase Negative traits to earn more. Scrap or trash any points you don't want to use."
jz_TraitRefundDesc,"Used to facilitate the refund of Knowledge Points. It is safe to trash or scrap this for Paper."
jz_TraitRefundSlowDriver,Refund Receipt
jz_TraitRefundSleepy,Refund Receipt
jz_TraitRefundClumsy,Refund Receipt
jz_TraitRefundAllThumbs,Refund Receipt
jz_TraitRefundWeakStomach,Refund Receipt
jz_TraitRefundAgoraphobic,Refund Receipt
jz_TraitRefundClaustrophobic,Refund Receipt
jz_TraitRefundBadLeg,Refund Receipt
jz_TraitRefundAsthmatic,Refund Receipt
jz_TraitRefundOutOfShape,Refund Receipt
jz_TraitRefundSmoker,Refund Receipt
jz_TraitRefundHemophobic,Refund Receipt
jz_TraitRefundThinSkinned,Refund Receipt
jz_TraitRefundWeak,Refund Receipt
jz_ProfessionFireFighterBook,The Fire Fighting Profession
jz_FiremanProfessionDesc,"All the knowledge needed to become a Fire Fighter.\n20% Block Dmg w/Fireaxes\n+5% Max Stamina\nRecipes- Aloe Cream, Medical Bandage, Molotov Cocktail, Firemans Axe Mod"
jz_ProfessionPoliceOfficerBook,The Police Profession
jz_CopProfessionDesc,"All the knowledge needed to become a Police Officer.\n10% Faster Reload & better Aim w/Pistol & Magnums\nRecipes- Pistol, Gun Oil, Stun Baton, Weapon Repair Kit"
jz_ProfessionParkRangerBook,The Park Ranger Profession
jz_ParkRangerProfessionDesc,"All the knowledge needed to become a Park Ranger.\n20% Faster Primitive Crafting\nRecipes- Herbal Antibiotics, Spear Iron, Spear Steel"
jz_ProfessionBouncerBook,The Bouncer Profession
jz_BouncerProfessionDesc,"All the knowledge needed to become a Bouncer.\n10% Less Stamina w/Brawling\nRecipes- Brass Knuckles Mold, Brass Knuckles, Leather Knuckles, Beer, Mead, Grain Alcohol"
jz_ProfessionChefBook,The Chef Profession
jz_ChefProfessionDesc,"All the knowledge needed to become a Chef.\n20% Faster Cooking\nRecipes- All Food Recipes"
jz_ProfessionBurglarBook,The Burglar Profession
jz_ThiefProfessionDesc,"All the knowledge needed to become a Burglar.\n10% Faster Movement & Less Noise while Crouching\n20% Faster Looting & Pinpoint Treasure location\nRecipes- Lock Picks"
jz_ProfessionCarpenterBook,The Carpenter Profession
jz_CarpenterProfessionDesc,"All the knowledge needed to become a Carpenter.\n20% Faster Crafting on the Workbench and Tablesaw\nRecipes- All Wooden Frame Shapes, Planks"
jz_ProfessionMasonBook,The Mason Profession
jz_MasonProfessionDesc,"All the knowledge needed to become a Mason.\n20% Faster Crafting on the Cementmixer\nRecipes- All Brick and Flagstone Frame Shapes, Bricks, Cobblestone"
jz_ProfessionSoldierBook,The Soldier Profession
